,match_id,team_id,team_confederation,referee_id,ref_confederation,yellow_card
194,M-1986-35,T-22,UEFA,R-348,UEFA,2
195,M-1986-36,T-64,UEFA,R-357,UEFA,2
196,M-1986-37,T-46,CONCACAF,R-027,CONMEBOL,0
197,M-1986-38,T-72,UEFA,R-154,UEFA,0
198,M-1986-39,T-09,CONMEBOL,R-382,UEFA,2
199,M-1986-40,T-03,CONMEBOL,R-006,UEFA,3
200,M-1986-41,T-41,UEFA,R-145,CONMEBOL,2
201,M-1986-42,T-47,CAF,R-343,UEFA,2
202,M-1986-43,T-28,UEFA,R-015,AFC,2
203,M-1986-44,T-22,UEFA,R-220,UEFA,1
204,M-1986-45,T-09,CONMEBOL,R-198,UEFA,0
205,M-1986-46,T-86,UEFA,R-122,CONMEBOL,3
206,M-1986-47,T-03,CONMEBOL,R-055,CAF,1
207,M-1986-48,T-73,UEFA,R-222,UEFA,2
208,M-1986-49,T-30,UEFA,R-006,UEFA,1
209,M-1986-50,T-03,CONMEBOL,R-272,CONCACAF,1
210,M-1986-51,T-06,UEFA,R-105,UEFA,1
211,M-1986-52,T-03,CONMEBOL,R-027,CONMEBOL,4
212,M-1990-01,T-03,CONMEBOL,R-459,UEFA,1
213,M-1990-02,T-72,UEFA,R-081,CONMEBOL,1
214,M-1990-03,T-82,AFC,R-105,UEFA,3
215,M-1990-04,T-41,UEFA,R-481,CONMEBOL,0
216,M-1990-05,T-83,CONCACAF,R-383,UEFA,2
217,M-1990-06,T-09,CONMEBOL,R-235,UEFA,3
218,M-1990-07,T-86,UEFA,R-299,UEFA,1
219,M-1990-08,T-17,CONCACAF,R-255,CONMEBOL,0
220,M-1990-09,T-28,UEFA,R-396,UEFA,1
221,M-1990-10,T-06,UEFA,R-286,CONCACAF,0
222,M-1990-11,T-48,UEFA,R-416,UEFA,1
223,M-1990-12,T-84,CONMEBOL,R-224,UEFA,2
224,M-1990-13,T-03,CONMEBOL,R-154,UEFA,4
225,M-1990-14,T-11,CAF,R-406,CONMEBOL,2
226,M-1990-15,T-87,UEFA,R-006,UEFA,1
227,M-1990-16,T-41,UEFA,R-094,CONCACAF,1
228,M-1990-17,T-05,UEFA,R-413,UEFA,3
229,M-1990-18,T-86,UEFA,R-417,UEFA,1
230,M-1990-19,T-09,CONMEBOL,R-211,CAF,2
231,M-1990-20,T-74,UEFA,R-261,CONMEBOL,1
232,M-1990-21,T-28,UEFA,R-343,UEFA,0
233,M-1990-22,T-60,UEFA,R-453,UEFA,1
234,M-1990-23,T-06,UEFA,R-222,UEFA,2
235,M-1990-24,T-71,AFC,R-206,CONMEBOL,3
236,M-1990-25,T-03,CONMEBOL,R-407,UEFA,2
237,M-1990-26,T-11,CAF,R-481,CONMEBOL,2
238,M-1990-27,T-86,UEFA,R-414,UEFA,1
239,M-1990-28,T-87,UEFA,R-426,AFC,3
240,M-1990-29,T-05,UEFA,R-015,AFC,5
241,M-1990-30,T-41,UEFA,R-357,UEFA,2
242,M-1990-31,T-09,CONMEBOL,R-224,UEFA,0
243,M-1990-32,T-74,UEFA,R-343,UEFA,2
244,M-1990-33,T-06,UEFA,R-255,CONMEBOL,0
245,M-1990-34,T-71,AFC,R-235,UEFA,4
246,M-1990-35,T-28,UEFA,R-383,UEFA,1
247,M-1990-36,T-60,UEFA,R-459,UEFA,0
248,M-1990-37,T-11,CAF,R-235,UEFA,4
249,M-1990-38,T-21,UEFA,R-222,UEFA,3
250,M-1990-39,T-09,CONMEBOL,R-357,UEFA,2
251,M-1990-40,T-86,UEFA,R-255,CONMEBOL,1
252,M-1990-41,T-60,UEFA,R-481,CONMEBOL,2
253,M-1990-42,T-41,UEFA,R-105,UEFA,1
254,M-1990-43,T-73,UEFA,R-396,UEFA,2
255,M-1990-44,T-28,UEFA,R-299,UEFA,1
256,M-1990-45,T-03,CONMEBOL,R-383,UEFA,4
257,M-1990-46,T-60,UEFA,R-407,UEFA,1
258,M-1990-47,T-21,UEFA,R-224,UEFA,5
259,M-1990-48,T-11,CAF,R-094,CONCACAF,3
260,M-1990-49,T-03,CONMEBOL,R-459,UEFA,6
261,M-1990-50,T-86,UEFA,R-481,CONMEBOL,1
262,M-1990-51,T-41,UEFA,R-357,UEFA,0
263,M-1990-52,T-86,UEFA,R-094,CONCACAF,1
264,M-1994-01,T-31,UEFA,R-067,CONCACAF,2
265,M-1994-02,T-73,UEFA,R-299,UEFA,2
266,M-1994-03,T-83,CONCACAF,R-233,CONMEBOL,1
267,M-1994-04,T-41,UEFA,R-450,UEFA,0
268,M-1994-05,T-16,CONMEBOL,R-015,AFC,3
269,M-1994-06,T-06,UEFA,R-436,CONMEBOL,2
270,M-1994-07,T-53,UEFA,R-354,UEFA,2
271,M-1994-08,T-11,CAF,R-431,CONMEBOL,1
272,M-1994-09,T-09,CONMEBOL,R-246,CAF,0
273,M-1994-10,T-48,UEFA,R-123,UEFA,2
274,M-1994-11,T-03,CONMEBOL,R-022,CONCACAF,1
275,M-1994-12,T-31,UEFA,R-087,CONMEBOL,1
276,M-1994-13,T-50,CAF,R-033,CONCACAF,1
277,M-1994-14,T-61,UEFA,R-211,CAF,3
278,M-1994-15,T-83,CONCACAF,R-037,UEFA,1
279,M-1994-16,T-41,UEFA,R-227,UEFA,1
280,M-1994-17,T-71,AFC,R-305,UEFA,3
281,M-1994-18,T-46,CONCACAF,R-383,UEFA,2
282,M-1994-19,T-09,CONMEBOL,R-067,CONCACAF,1
283,M-1994-20,T-74,UEFA,R-357,UEFA,3
284,M-1994-21,T-06,UEFA,R-275,CONMEBOL,1
285,M-1994-22,T-63,AFC,R-127,UEFA,4
286,M-1994-23,T-03,CONMEBOL,R-216,UEFA,1
287,M-1994-24,T-10,UEFA,R-071,AFC,4
288,M-1994-25,T-75,UEFA,R-299,UEFA,2
289,M-1994-26,T-83,CONCACAF,R-450,UEFA,2
290,M-1994-27,T-07,CONMEBOL,R-033,CONCACAF,0
291,M-1994-28,T-31,UEFA,R-357,UEFA,3
292,M-1994-29,T-41,UEFA,R-233,CONMEBOL,1
